accid,LagInd
build permit,LeadInd
capex to sale ratio,LeadInd
cash convers cycl,LagInd
convers rate,LagInd
cross sell success rate,LagInd
custom lifetim valu,LeadInd
d e ratio,LagInd
ebit,LagInd
ebitda,LagInd
eva,LagInd
human capit valu ad,LeadInd
it cost,LagInd
it project cost,LagInd
liquid damag,LagInd
net incom margin,LagInd
net incom,LagInd
oper expens ratio,LeadInd
oper profit margin,LeadInd
over budget,LagInd
p e ratio,LeadInd
roa,LagInd
roce,LagInd
roi,LagInd
retail sale,LeadInd
return of sale,LagInd
return on innov invest,LagInd
return on invest,LagInd
revenu per employe,LeadInd
risk likelihood,LeadInd
risk appetit,LeadInd
tsr,LeadInd
turnov,LagInd
unemploy,LagInd
uniqu websit view,LeadInd
work capit ratio,LeadInd
acquisit,LeadInd
annual sale,LagInd
bounc rate,LeadInd
brand persuas score,LeadInd
cost to serv,LeadInd
custom satisfact, LeadInd
custom satisfact,LeadInd
custom turnov,LagInd
defect rate,LeadInd
direct product profit,LagInd
employe moral,LeadInd
growith in new market,LeadInd
help desk,LeadInd
incid resolut,LeadInd
interest rate,LeadInd
inventori,LeadInd
manufactor,LeadInd
net earn,LagInd
net profit,LagInd
new websit trial,LeadInd
order backlog,LeadInd
progress report,LeadInd
revenu,LagInd
revenu per user,LagInd
risk exposur,LeadInd
sale,LagInd
sale growth,LeadInd
sale per channel,LagInd
sale volum project,LeadInd
system downtim,LagInd
total sharehold return,LeadInd
upsel,LagInd
wage rate,LagInd
websit avail,LagInd
